tid,geometric,kinematic,curvature,indentation,speed,acceleration
0,0.7705,0.0107,0.7731,0.6586,0.0141,0.0121
205717000,0.9364,0.9932,0.8647,0.9808,0.9936,0.0138
209112000,0.8943,0.0509,0.9171,0.6983,0.0685,0.5997
209429000,0.8963,0.7461,0.948,0.5105,0.7467,0.826
210737000,0.6965,0.052,0.8663,0.2891,0.0678,0.0194
212656000,0.2754,0.1531,0.1238,0.9801,0.1321,0.9374
220590000,0.1354,0.0709,0.1273,0.1569,0.0883,0.0211
229054000,0.8673,0.9184,0.8885,0.7558,0.9294,0.0014
232010350,0.8797,0.0445,0.9215,0.5665,0.0519,0.1709
232048904,0.1277,0.0716,0.1261,0.102,0.0865,0.0235
233933000,0.1365,0.0737,0.1273,0.1683,0.0901,0.0235
235055089,0.1184,0.0744,0.1238,0.0803,0.089,0.0249
235082858,0.1342,0.1531,0.125,0.1602,0.1568,0.1246
235116535,0.1384,0.0716,0.1273,0.1783,0.088,0.0204
240681000,0.9071,0.7197,0.9607,0.6615,0.7404,0.0145
244023610,0.8249,0.0983,0.8286,0.7904,0.2762,0.0125
247222930,0.8531,0.9256,0.8167,0.9061,0.9424,0.0176
248703000,0.8924,0.9972,0.9195,0.7779,0.9961,0.9941
248974000,0.7898,0.8155,0.789,0.74,0.8372,0.0211
255617000,0.9175,0.0417,0.9544,0.3617,0.053,0.0547
255801370,0.3722,0.0552,0.9441,0.0954,0.0682,0.0253
255803680,0.8889,0.864,0.9127,0.7333,0.8206,0.9768
255805550,0.8303,0.9964,0.7993,0.8843,0.9982,0.026
255806490,0.8858,0.9078,0.9298,0.7057,0.9226,0.0131
255806497,0.791,0.7956,0.0928,0.7694,0.8322,0.0149
257407000,0.0976,0.0702,0.0952,0.0825,0.0851,0.0218
265526100,0.1122,0.0994,0.1131,0.0832,0.101,0.1478
265808260,0.1315,0.0748,0.1234,0.1521,0.0897,0.0232
275430000,0.8365,0.9929,0.8957,0.4438,0.9905,0.9671
303221000,0.1331,0.0684,0.1277,0.133,0.088,0.0166
303244000,0.1342,0.1382,0.125,0.1599,0.1434,0.0893
303295000,0.1273,0.0869,0.1115,0.147,0.1088,0.0104
303304000,0.9233,0.058,0.9679,0.4335,0.1229,0.0125
303308000,0.1288,0.0677,0.1273,0.0924,0.0862,0.0187
303366000,0.1365,0.9811,0.1075,0.7149,0.9777,0.9796
303396000,0.1103,0.0566,0.1091,0.0807,0.0696,0.0118
303398000,0.1427,0.8554,0.1277,0.1761,0.7775,0.9467
303436000,0.1296,0.0744,0.1273,0.1072,0.0883,0.0346
303442000,0.8214,0.7098,0.0857,0.7562,0.7209,0.1242
303465000,0.8662,0.7279,0.9203,0.7444,0.7665,0.0221
303547000,0.8045,0.9117,0.8191,0.7304,0.9241,0.0249
303556000,0.1296,0.0766,0.0781,0.2803,0.0897,0.0242
303599000,0.1257,0.068,0.1277,0.088,0.083,0.0145
303636000,0.1901,0.0762,0.1829,0.1646,0.0943,0.0128
303639000,0.1377,0.0698,0.1273,0.1705,0.089,0.0194
303656000,0.9294,0.9295,0.9583,0.7735,0.9371,0.0322
303668000,0.7929,0.9943,0.8338,0.7304,0.9922,0.9467
303674000,0.1284,0.0723,0.1273,0.105,0.0858,0.0218
303683000,0.1323,0.0748,0.123,0.1702,0.0897,0.0208
303902000,0.1315,0.0976,0.1273,0.1337,0.1014,0.0893
303944000,0.9152,0.0417,0.9429,0.1256,0.0562,0.0152
309372000,0.8558,0.8305,0.9223,0.7392,0.8474,0.0149
309955000,0.7833,0.9501,0.7711,0.7727,0.9566,0.0159
311000187,0.7975,0.8949,0.7747,0.8022,0.9198,0.009
311000188,0.8276,0.8226,0.8985,0.7352,0.841,0.0131
311001213,0.1226,0.0463,0.1218,0.1289,0.0586,0.0422
311001249,0.1107,0.9961,0.1004,0.4387,0.9951,0.0104
311056900,0.7586,0.9302,0.7374,0.7506,0.8852,0.9844
311696000,0.9379,0.995,0.8647,0.9808,0.9958,0.0211
314956599,0.1573,0.188,0.1273,0.2394,0.1876,0.846
316001005,0.1304,0.0855,0.1198,0.1448,0.0982,0.0204
316001104,0.1315,0.0381,0.1281,0.1127,0.0558,0.0145
316001110,0.8484,0.9274,0.8497,0.8424,0.9396,0.0298
316001125,0.9387,0.0381,0.9718,0.3477,0.0533,0.0308
316001152,0.1311,0.0356,0.1246,0.1138,0.0516,0.0062
316001193,0.1296,0.1168,0.1111,0.1304,0.124,0.8654
316001221,0.1253,0.073,0.1206,0.1164,0.0887,0.0266
316001222,0.1246,0.0146,0.0313,0.7455,0.029,0.0118
316001235,0.1913,0.7372,0.1127,0.7698,0.7224,0.9339
316001236,0.135,0.083,0.1246,0.1315,0.0964,0.0965
316001245,0.9314,0.995,0.1079,0.8773,0.9926,0.8927
316001247,0.1793,0.9427,0.1222,0.7466,0.893,0.9958
316001249,0.9136,0.9925,0.1023,0.811,0.9912,0.8723
316001251,0.1905,0.9861,0.0956,0.7654,0.9827,0.0872
316001252,0.2083,0.9501,0.1146,0.7691,0.9505,0.9294
316001255,0.8577,0.9523,0.8393,0.772,0.9403,0.9301
316001257,0.7108,0.9918,0.1095,0.8317,0.9919,0.0408
316001262,0.467,0.9911,0.121,0.8276,0.9862,0.9924
316001265,0.1253,0.021,0.1218,0.6534,0.0268,0.0945
316001266,0.5561,0.8383,0.1214,0.8232,0.8146,0.9609
316001267,0.1851,0.9829,0.1182,0.7414,0.9516,0.9689
316001268,0.8052,0.9897,0.1218,0.7628,0.9841,0.9578
316001269,0.2931,1.0,0.1095,0.7982,0.9915,1.0
316001270,0.1169,0.0769,0.023,0.2405,0.0911,0.0356
316001341,0.1358,0.0751,0.1273,0.1584,0.089,0.0225
316001416,0.7192,0.9708,0.7628,0.2092,0.9675,0.9713
316001481,0.118,0.083,0.1075,0.1425,0.0996,0.0304
316001487,0.1064,0.0751,0.1027,0.1193,0.0897,0.036
316001538,0.1369,0.0748,0.1269,0.1687,0.0887,0.0232
316001556,0.1485,0.9633,0.1317,0.1569,0.9248,0.9952
316001649,0.1361,0.0709,0.1273,0.1665,0.0848,0.0197
316001655,0.1242,0.0737,0.1111,0.1775,0.0901,0.0253
316001659,0.1361,0.0741,0.1246,0.1635,0.0894,0.0211
316001717,0.8916,0.9986,0.9429,0.4821,0.9975,0.9997
316001731,0.0875,0.0563,0.0754,0.6368,0.1473,0.0163
316001749,0.1219,0.9459,0.1138,0.305,0.8919,0.9889
316001804,0.9726,0.0759,0.8374,0.9702,0.0901,0.0242
