tid,geometric,kinematic,curvature,indentation,speed,acceleration
116,0.3208,0.1667,0.9623,0.1731,0.193,0.1698
118,0.3962,0.1296,0.0755,0.6923,0.1579,0.1321
125,0.1509,0.6852,0.0566,0.1538,0.7895,0.4906
131,0.3396,0.2037,0.9623,0.0769,0.4561,0.1132
144,0.0755,0.0741,0.1321,0.0769,0.1053,0.0566
161,0.0377,0.8333,0.0755,0.0577,0.8596,0.8302
166,0.2642,0.1852,0.0377,0.3269,0.2281,0.0566
168,0.0566,0.9074,0.0566,0.0385,0.7193,0.9623
183,0.2075,0.9815,0.3962,0.1538,0.9649,0.9811
184,0.0755,0.6481,0.0189,0.0962,0.3684,0.9245
201,0.6981,0.1296,0.9811,0.1154,0.2632,0.0189
215,0.9057,0.1111,0.9623,0.4038,0.1579,0.0566
217,0.1887,0.8889,0.0,0.4231,0.9298,0.8868
247,0.283,0.7778,0.0566,0.5962,0.5439,0.9245
248,0.8868,0.3148,0.0377,0.9808,0.4211,0.283
250,0.1509,0.0556,0.0189,0.2692,0.1404,0.0
251,0.0189,0.037,0.0377,0.0577,0.0526,0.0189
252,0.9811,0.8704,1.0,0.6923,0.8772,0.5472
253,0.0943,0.0741,0.0566,0.0769,0.1579,0.0
255,0.1509,0.0,0.6038,0.0769,0.0,0.0566
256,0.1132,0.037,0.0566,0.1538,0.1754,0.0189
257,0.0377,0.0926,0.0377,0.0192,0.1579,0.0566
263,0.4151,0.7407,0.0377,0.6154,0.614,0.8113
264,0.9057,1.0,0.0377,1.0,1.0,1.0
272,0.7547,0.1296,0.0377,0.8077,0.193,0.1132
273,0.1698,0.0926,0.0943,0.1731,0.1404,0.0
274,1.0,0.4074,1.0,0.4423,0.4386,0.4151
275,0.0189,0.0926,0.0189,0.1346,0.1228,0.0755
276,0.0566,0.2963,0.0377,0.1154,0.3684,0.4151
277,0.3019,0.0556,0.0566,0.4231,0.0702,0.2453
278,0.1132,0.1111,0.0566,0.0962,0.0877,0.1321
283,0.0189,0.0926,0.0189,0.1346,0.1228,0.0755
301,0.0377,0.4074,0.0189,0.0577,0.4386,0.3962
318,0.0189,0.0926,0.0189,0.0962,0.1228,0.0377
323,0.434,0.5185,0.0377,0.5769,0.7018,0.2075
327,0.2264,0.2037,0.0755,0.3462,0.3509,0.1321
333,0.1321,0.1296,0.0943,0.1346,0.2105,0.2264
334,0.1321,0.8519,0.0377,0.2115,0.8421,0.8679
335,0.0189,0.3333,0.0377,0.0769,0.6491,0.1509
338,0.0,0.9444,0.0377,0.0192,0.9649,0.9245
339,0.0566,0.1111,0.0189,0.0962,0.1754,0.0566
340,0.0943,0.9074,0.0189,0.1154,0.8421,0.9623
341,0.1132,0.0556,0.0377,0.2885,0.2105,0.0189
342,0.717,0.1667,0.1132,0.7885,0.2105,0.1132
343,0.0189,0.3333,0.0377,0.0,0.6491,0.1698
346,0.0,0.037,0.0377,0.0,0.0877,0.0
347,0.0943,0.0185,0.0377,0.1154,0.1228,0.0
348,1.0,0.1667,1.0,0.6731,0.2456,0.1509
349,0.0566,0.5185,0.0377,0.0,0.8246,0.2453
350,0.0566,0.1111,0.0377,0.1346,0.1404,0.0755
351,0.6226,0.1852,1.0,0.25,0.2982,0.1698
352,0.0189,0.8148,0.0566,0.1154,0.6491,1.0
353,0.0566,0.0741,0.3585,0.0385,0.1228,0.0
364,0.0566,0.8519,0.0377,0.0962,0.8596,0.7547
367,0.0377,0.2037,0.0189,0.0192,0.2807,0.1698
368,0.3019,0.0556,0.0943,0.3462,0.1228,0.0566
369,0.0189,0.1667,0.0189,0.1346,0.2281,0.1321
374,0.6604,0.1852,0.0189,0.8654,0.2982,0.1509
382,1.0,0.2407,1.0,0.7308,0.3333,0.1887
401,0.7736,0.1481,0.0377,0.9423,0.2105,0.0755
402,0.2264,0.0556,0.9623,0.1538,0.1053,0.0189
407,0.7547,0.2222,0.7925,0.7308,0.3158,0.2075
417,1.0,0.2407,1.0,0.7115,0.3333,0.1698
428,0.6981,0.1852,0.9245,0.6731,0.2632,0.1887
430,0.4717,0.1852,0.0377,0.8077,0.2632,0.1698
432,0.283,0.1667,0.0,0.4231,0.2105,0.1509
