tid,geometric,kinematic,curvature,indentation,speed,acceleration
1842298N11080,0.1153,0.2915,0.1013,0.1425,0.1486,0.9412
1845336N10074,0.1211,0.3116,0.0738,0.1755,0.376,0.0638
1848011S09079,0.6855,0.9915,0.0405,0.7646,0.9937,0.3889
1848011S09080,0.0554,0.0667,0.0373,0.3628,0.0977,0.0185
1848011S15057,0.9802,0.6235,0.9981,0.4539,0.7237,0.0683
1848011S16057,0.1256,0.9987,0.0648,0.1717,0.9979,0.7454
1848061S12075,0.9692,0.7098,0.9555,0.9259,0.7914,0.2528
1848112S07084,0.0463,0.1419,0.0386,0.0244,0.1594,0.0484
1848112S07444,0.1119,0.1201,0.0476,0.1643,0.1314,0.0536
1851080S15062,0.12,0.1314,0.1086,0.1371,0.1471,0.1137
1851080S15063,0.0838,0.2116,0.1002,0.0276,0.2309,0.1296
1851080S21060,0.1156,0.1097,0.1167,0.1197,0.0669,0.6669
1851080S21420,0.1732,0.2519,0.1159,0.2062,0.2628,0.3487
1851175N26270,0.0998,0.486,0.07,0.1339,0.482,0.5899
1851181N19275,0.1816,0.3289,0.1246,0.2682,0.2891,0.6015
1851214N14321,0.1888,0.5605,0.1217,0.2483,0.5591,0.6405
1851228N13313,0.1205,0.451,0.0634,0.1545,0.5681,0.0184
1851241N27280,0.0705,0.3868,0.072,0.0517,0.4202,0.2279
1851250N20278,0.1603,0.1435,0.1231,0.1845,0.0987,0.4715
1851254N34316,0.1907,0.8705,0.1259,0.2345,0.9,0.2696
1851256N26265,0.6608,0.452,0.0423,0.8741,0.5321,0.049
1851260N32298,0.6832,0.3301,0.8356,0.5203,0.3659,0.1514
1851283N24298,0.1126,0.8584,0.0559,0.152,0.8809,0.3884
1851289N29282,0.1494,0.0285,0.1086,0.175,0.0449,0.0725
1851305S08089,0.0634,0.2481,0.0534,0.0617,0.2979,0.0318
1851309N19282,0.9698,0.4372,0.9811,0.1355,0.5198,0.1637
1852001S12077,0.0564,0.1214,0.0569,0.0201,0.1997,0.0181
1852001S13076,0.0675,0.0492,0.0701,0.029,0.0809,0.0461
1852021S14075,0.0296,0.0891,0.0468,0.4166,0.0943,0.0949
1852232N21293,0.1016,0.019,0.1865,0.1257,0.0109,0.1101
1852241N34278,0.1704,0.5392,0.0995,0.2175,0.662,0.0165
1852247N14309,0.6707,0.996,0.6223,0.7749,0.9226,0.9975
1852247N32318,0.0792,0.2323,0.1035,0.0442,0.3384,0.0434
1852249N17296,0.1826,0.2021,0.1209,0.2209,0.304,0.0642
1852264N13309,0.8155,0.4133,0.9881,0.0292,0.5718,0.0764
1852266N17274,0.1541,0.3271,0.0817,0.6577,0.389,0.0506
1852271N15328,0.1072,0.8948,0.0615,0.1472,0.854,0.9165
1852273N11295,0.1777,0.6401,0.119,0.2452,0.3345,0.9732
1852278N14293,0.9184,0.5347,0.3139,0.9152,0.6196,0.1179
1852331N24274,0.167,0.9502,0.1109,0.2156,0.9,0.9833
1853216N26294,0.1886,0.4816,0.1231,0.2285,0.5805,0.2539
1853228N14322,0.0954,0.686,0.0389,0.1433,0.7632,0.0249
1853238N18281,0.1495,0.3855,0.0502,0.6896,0.4463,0.0885
1853239N11302,0.1133,0.1172,0.0497,0.1605,0.1853,0.0381
1853242N12336,0.1637,0.9431,0.4579,0.1794,0.9638,0.0944
1853245N34311,0.1056,0.8542,0.0678,0.1388,0.8166,0.9187
1853251N24274,0.0695,0.2605,0.0437,0.077,0.2545,0.4102
1853251N37307,0.225,0.9395,0.1252,0.3142,0.959,0.0348
1853264N20268,0.1638,0.4097,0.1195,0.1935,0.419,0.447
1853268N27293,0.0829,0.3597,0.0796,0.0667,0.493,0.04
1853269N26298,0.8359,0.6291,0.8394,0.7556,0.7238,0.0282
1853270N14327,0.1205,0.379,0.1084,0.1379,0.4052,0.3363
1853291N32280,0.9947,0.747,0.9922,0.9143,0.5873,0.9455
1853318N20288,0.9874,0.5591,0.9955,0.8005,0.3556,0.9496
1854032S17059,0.1038,0.2348,0.1054,0.0876,0.2723,0.0836
1854039S18060,0.1605,0.2899,0.1159,0.1828,0.324,0.1963
1854060S15069,0.1221,0.3156,0.1127,0.1426,0.3555,0.1426
1854060S16069,0.1164,0.2376,0.1001,0.37,0.2583,0.1215
1854176N26268,0.0797,0.0333,0.0953,0.4033,0.0458,0.0549
1854207N28267,0.0686,0.1878,0.0864,0.0133,0.2229,0.019
1854246N25300,0.4603,0.1636,0.6839,0.4272,0.2552,0.0406
1854253N14303,0.0805,0.1384,0.0869,0.4296,0.1177,0.289
1854253N35280,0.143,0.9912,0.0639,0.1989,0.9918,0.8684
1854258N13329,0.0885,0.0583,0.0531,0.1209,0.0861,0.1202
1854259N24266,0.5731,0.2726,0.5551,0.6254,0.3074,0.1104
1854279N12297,0.0343,0.0817,0.0457,0.0486,0.1245,0.0587
1854287N18296,0.6476,0.6199,0.1194,0.8433,0.7138,0.1222
1854293N25292,0.125,0.078,0.0859,0.1572,0.1157,0.0722
1854303N14072,0.0249,0.1328,0.0486,0.1102,0.152,0.0843
1854305S10073,0.1251,0.0425,0.1117,0.1396,0.0451,0.0351
1854309N22294,0.1216,0.1511,0.1179,0.1335,0.1977,0.0468
1854325S10073,0.1094,0.0712,0.1023,0.1312,0.0751,0.0524
1855021S14076,0.0307,0.1427,0.0547,0.3636,0.1658,0.0474
1855021S15057,0.949,0.1769,0.2177,0.903,0.2119,0.0161
1855121S08073,0.0968,0.0493,0.083,0.1065,0.049,0.0856
1855131S08073,0.1111,0.0987,0.0811,0.1402,0.097,0.1008
1855206N22263,0.1656,0.3093,0.1153,0.2004,0.3626,0.0927
1855215N30272,0.997,0.6825,0.9936,0.942,0.6471,0.798
1855222N44318,0.2248,0.9977,0.1274,0.3124,0.998,0.1508
1855236N12304,0.3717,0.2027,0.0988,0.8187,0.3069,0.028
1855244N12319,0.1214,0.7611,0.108,0.1643,0.7807,0.6333
1855252N20274,0.849,0.2844,0.251,0.8759,0.2575,0.8185
1855263N24306,0.0622,0.1941,0.036,0.0601,0.1787,0.4103
