x,y,ID
0.7731,0.0121,0
0.8647,0.0138,205717000
0.9171,0.5997,209112000
0.948,0.826,209429000
0.8663,0.0194,210737000
0.1238,0.9374,212656000
0.1273,0.0211,220590000
0.8885,0.0014,229054000
0.9215,0.1709,232010350
0.1261,0.0235,232048904
0.1273,0.0235,233933000
0.1238,0.0249,235055089
0.125,0.1246,235082858
0.1273,0.0204,235116535
0.9607,0.0145,240681000
0.8286,0.0125,244023610
0.8167,0.0176,247222930
0.9195,0.9941,248703000
0.789,0.0211,248974000
0.9544,0.0547,255617000
0.9441,0.0253,255801370
0.9127,0.9768,255803680
0.7993,0.026,255805550
0.9298,0.0131,255806490
0.0928,0.0149,255806497
0.0952,0.0218,257407000
0.1131,0.1478,265526100
0.1234,0.0232,265808260
0.8957,0.9671,275430000
0.1277,0.0166,303221000
0.125,0.0893,303244000
0.1115,0.0104,303295000
0.9679,0.0125,303304000
0.1273,0.0187,303308000
0.1075,0.9796,303366000
0.1091,0.0118,303396000
0.1277,0.9467,303398000
0.1273,0.0346,303436000
0.0857,0.1242,303442000
0.9203,0.0221,303465000
0.8191,0.0249,303547000
0.0781,0.0242,303556000
0.1277,0.0145,303599000
0.1829,0.0128,303636000
0.1273,0.0194,303639000
0.9583,0.0322,303656000
0.8338,0.9467,303668000
0.1273,0.0218,303674000
0.123,0.0208,303683000
0.1273,0.0893,303902000
0.9429,0.0152,303944000
0.9223,0.0149,309372000
0.7711,0.0159,309955000
0.7747,0.009,311000187
0.8985,0.0131,311000188
0.1218,0.0422,311001213
0.1004,0.0104,311001249
0.7374,0.9844,311056900
0.8647,0.0211,311696000
0.1273,0.846,314956599
0.1198,0.0204,316001005
0.1281,0.0145,316001104
0.8497,0.0298,316001110
0.9718,0.0308,316001125
0.1246,0.0062,316001152
0.1111,0.8654,316001193
0.1206,0.0266,316001221
0.0313,0.0118,316001222
0.1127,0.9339,316001235
0.1246,0.0965,316001236
0.1079,0.8927,316001245
0.1222,0.9958,316001247
0.1023,0.8723,316001249
0.0956,0.0872,316001251
0.1146,0.9294,316001252
0.8393,0.9301,316001255
0.1095,0.0408,316001257
0.121,0.9924,316001262
0.1218,0.0945,316001265
0.1214,0.9609,316001266
0.1182,0.9689,316001267
0.1218,0.9578,316001268
0.1095,1.0,316001269
0.023,0.0356,316001270
0.1273,0.0225,316001341
0.7628,0.9713,316001416
0.1075,0.0304,316001481
0.1027,0.036,316001487
0.1269,0.0232,316001538
