x,y,ID
0.6586,0.0121,0
0.9808,0.0138,205717000
0.6983,0.5997,209112000
0.5105,0.826,209429000
0.2891,0.0194,210737000
0.9801,0.9374,212656000
0.1569,0.0211,220590000
0.7558,0.0014,229054000
0.5665,0.1709,232010350
0.102,0.0235,232048904
0.1683,0.0235,233933000
0.0803,0.0249,235055089
0.1602,0.1246,235082858
0.1783,0.0204,235116535
0.6615,0.0145,240681000
0.7904,0.0125,244023610
0.9061,0.0176,247222930
0.7779,0.9941,248703000
0.74,0.0211,248974000
0.3617,0.0547,255617000
0.0954,0.0253,255801370
0.7333,0.9768,255803680
0.8843,0.026,255805550
0.7057,0.0131,255806490
0.7694,0.0149,255806497
0.0825,0.0218,257407000
0.0832,0.1478,265526100
0.1521,0.0232,265808260
0.4438,0.9671,275430000
0.133,0.0166,303221000
0.1599,0.0893,303244000
0.147,0.0104,303295000
0.4335,0.0125,303304000
0.0924,0.0187,303308000
0.7149,0.9796,303366000
0.0807,0.0118,303396000
0.1761,0.9467,303398000
0.1072,0.0346,303436000
0.7562,0.1242,303442000
0.7444,0.0221,303465000
0.7304,0.0249,303547000
0.2803,0.0242,303556000
0.088,0.0145,303599000
0.1646,0.0128,303636000
0.1705,0.0194,303639000
0.7735,0.0322,303656000
0.7304,0.9467,303668000
0.105,0.0218,303674000
0.1702,0.0208,303683000
0.1337,0.0893,303902000
0.1256,0.0152,303944000
0.7392,0.0149,309372000
0.7727,0.0159,309955000
0.8022,0.009,311000187
0.7352,0.0131,311000188
0.1289,0.0422,311001213
0.4387,0.0104,311001249
0.7506,0.9844,311056900
0.9808,0.0211,311696000
0.2394,0.846,314956599
0.1448,0.0204,316001005
0.1127,0.0145,316001104
0.8424,0.0298,316001110
0.3477,0.0308,316001125
0.1138,0.0062,316001152
0.1304,0.8654,316001193
0.1164,0.0266,316001221
0.7455,0.0118,316001222
0.7698,0.9339,316001235
0.1315,0.0965,316001236
0.8773,0.8927,316001245
0.7466,0.9958,316001247
0.811,0.8723,316001249
0.7654,0.0872,316001251
0.7691,0.9294,316001252
0.772,0.9301,316001255
0.8317,0.0408,316001257
0.8276,0.9924,316001262
0.6534,0.0945,316001265
0.8232,0.9609,316001266
0.7414,0.9689,316001267
0.7628,0.9578,316001268
0.7982,1.0,316001269
0.2405,0.0356,316001270
0.1584,0.0225,316001341
0.2092,0.9713,316001416
0.1425,0.0304,316001481
0.1193,0.036,316001487
0.1687,0.0232,316001538
0.1569,0.9952,316001556
0.1665,0.0197,316001649
0.1775,0.0253,316001655
0.1635,0.0211,316001659
0.4821,0.9997,316001717
0.6368,0.0163,316001731
0.305,0.9889,316001749
0.9702,0.0242,316001804
0.695,0.9491,316001819
0.1282,0.0152,316002054
0.0729,0.0242,316002294
0.5134,0.0097,316002623
0.1621,0.0201,316002718
0.435,0.0156,316002742
0.1661,0.0235,316002759
0.7175,0.9716,316002933
0.1727,0.0166,316002974
0.5669,0.0128,316003008
0.6291,0.0093,316003137
0.5444,0.0228,316003167
0.9565,0.0145,316003182
0.1595,0.9332,316003289
0.2004,0.0208,316003351
0.1716,0.0273,316003366
0.1871,0.0163,316003446
0.0225,0.0215,316003447
0.8773,0.0149,316003453
0.1127,0.0159,316003459
0.1731,0.0228,316003481
0.7355,0.0128,316003483
0.3238,0.0183,316003514
0.719,0.019,316003515
0.095,0.019,316003527
0.7525,0.9834,316003544
0.3308,0.0246,316003593
0.0424,0.0225,316003659
0.7727,0.0381,316003663
0.4435,0.009,316003667
0.1477,0.0211,316003668
0.6862,0.0221,316003671
0.7724,0.9246,316003677
0.1845,0.0215,316003702
0.1842,0.0246,316003703
0.0869,0.019,316003760
0.1772,0.0246,316003806
0.1009,0.0239,316003895
0.7702,0.019,316003982
0.1646,0.0242,316004038
0.4678,0.0253,316004039
0.7179,0.9682,316004106
0.7779,0.0152,316004319
0.1738,0.0225,316004376
0.1713,0.0232,316004410
0.2715,0.0242,316004434
0.7341,0.0107,316004449
0.7322,0.0547,316004451
0.7606,0.9913,316004458
0.3484,0.0263,316004479
0.7484,0.0246,316004498
0.3915,0.0104,316004512
0.7669,0.991,316004641
0.7595,0.01,316004658
0.1595,0.0118,316004659
0.0954,0.1235,316004661
0.6483,0.954,316004727
0.1227,0.018,316004787
0.7698,0.0118,316004807
0.182,0.0221,316004831
0.1013,0.063,316004832
0.0877,0.0208,316004908
0.088,0.0135,316004932
0.7157,0.0076,316004969
0.1705,0.0322,316004971
0.1521,0.0246,316005018
0.1646,0.0232,316005159
0.7772,0.0156,316005257
0.8018,0.9228,316005416
0.7606,0.0114,316005417
0.1757,0.0183,316005448
0.7308,0.01,316005489
0.1624,0.0239,316005498
0.084,0.0152,316005551
0.1635,0.0228,316005583
0.3344,0.0118,316005607
0.1764,0.0125,316005611
0.7587,0.0488,316005616
0.7724,0.0125,316005621
0.1429,0.009,316005622
0.0843,0.0215,316005623
0.1064,0.0149,316005626
0.7149,0.0114,316005636
0.2773,0.0114,316005637
0.0917,0.0142,316005649
0.1094,0.017,316005651
0.1705,0.0239,316005665
0.1602,0.0173,316005667
0.2147,0.0073,316005713
0.5878,0.001,316005715
0.6862,0.0052,316005716
0.1076,0.9609,316005717
0.7263,0.009,316005718
0.0803,0.0391,316005721
0.1731,0.9965,316005724
0.3702,0.0993,316005725
0.0737,0.9564,316005728
0.1602,0.0204,316005768
0.098,0.0145,316005772
0.1635,0.0249,316005774
0.2022,0.018,316005813
0.1753,0.0221,316005832
0.0317,0.0637,316005866
