x,y,ID
0.6586,0.7731,0
0.9808,0.8647,205717000
0.6983,0.9171,209112000
0.5105,0.948,209429000
0.2891,0.8663,210737000
0.9801,0.1238,212656000
0.1569,0.1273,220590000
0.7558,0.8885,229054000
0.5665,0.9215,232010350
0.102,0.1261,232048904
0.1683,0.1273,233933000
0.0803,0.1238,235055089
0.1602,0.125,235082858
0.1783,0.1273,235116535
0.6615,0.9607,240681000
0.7904,0.8286,244023610
0.9061,0.8167,247222930
0.7779,0.9195,248703000
0.74,0.789,248974000
0.3617,0.9544,255617000
0.0954,0.9441,255801370
0.7333,0.9127,255803680
0.8843,0.7993,255805550
0.7057,0.9298,255806490
0.7694,0.0928,255806497
0.0825,0.0952,257407000
0.0832,0.1131,265526100
0.1521,0.1234,265808260
0.4438,0.8957,275430000
0.133,0.1277,303221000
0.1599,0.125,303244000
0.147,0.1115,303295000
0.4335,0.9679,303304000
0.0924,0.1273,303308000
0.7149,0.1075,303366000
0.0807,0.1091,303396000
0.1761,0.1277,303398000
0.1072,0.1273,303436000
0.7562,0.0857,303442000
0.7444,0.9203,303465000
0.7304,0.8191,303547000
0.2803,0.0781,303556000
0.088,0.1277,303599000
0.1646,0.1829,303636000
0.1705,0.1273,303639000
0.7735,0.9583,303656000
0.7304,0.8338,303668000
0.105,0.1273,303674000
0.1702,0.123,303683000
0.1337,0.1273,303902000
0.1256,0.9429,303944000
0.7392,0.9223,309372000
0.7727,0.7711,309955000
0.8022,0.7747,311000187
0.7352,0.8985,311000188
0.1289,0.1218,311001213
0.4387,0.1004,311001249
0.7506,0.7374,311056900
0.9808,0.8647,311696000
0.2394,0.1273,314956599
0.1448,0.1198,316001005
0.1127,0.1281,316001104
0.8424,0.8497,316001110
0.3477,0.9718,316001125
0.1138,0.1246,316001152
0.1304,0.1111,316001193
0.1164,0.1206,316001221
0.7455,0.0313,316001222
0.7698,0.1127,316001235
0.1315,0.1246,316001236
0.8773,0.1079,316001245
0.7466,0.1222,316001247
0.811,0.1023,316001249
0.7654,0.0956,316001251
0.7691,0.1146,316001252
0.772,0.8393,316001255
0.8317,0.1095,316001257
0.8276,0.121,316001262
0.6534,0.1218,316001265
0.8232,0.1214,316001266
0.7414,0.1182,316001267
0.7628,0.1218,316001268
0.7982,0.1095,316001269
0.2405,0.023,316001270
0.1584,0.1273,316001341
0.2092,0.7628,316001416
0.1425,0.1075,316001481
0.1193,0.1027,316001487
0.1687,0.1269,316001538
0.1569,0.1317,316001556
0.1665,0.1273,316001649
0.1775,0.1111,316001655
0.1635,0.1246,316001659
0.4821,0.9429,316001717
0.6368,0.0754,316001731
0.305,0.1138,316001749
0.9702,0.8374,316001804
0.695,0.8524,316001819
0.1282,0.1051,316002054
0.0729,0.1246,316002294
0.5134,0.9782,316002623
0.1621,0.1269,316002718
0.435,0.9714,316002742
0.1661,0.123,316002759
0.7175,0.8072,316002933
0.1727,0.1277,316002974
0.5669,0.1174,316003008
0.6291,0.8306,316003137
0.5444,0.9663,316003167
0.9565,0.8354,316003182
0.1595,0.1242,316003289
0.2004,0.1281,316003351
0.1716,0.1246,316003366
0.1871,0.1273,316003446
0.0225,0.0571,316003447
0.8773,0.8025,316003453
0.1127,0.1277,316003459
0.1731,0.1273,316003481
0.7355,0.8643,316003483
0.3238,0.9746,316003514
0.719,0.8802,316003515
0.095,0.1277,316003527
0.7525,0.8953,316003544
0.3308,0.9948,316003593
0.0424,0.1234,316003659
0.7727,0.0655,316003663
0.4435,0.1166,316003667
0.1477,0.125,316003668
0.6862,0.0448,316003671
0.7724,0.1111,316003677
0.1845,0.1273,316003702
0.1842,0.1277,316003703
0.0869,0.1396,316003760
0.1772,0.1198,316003806
0.1009,0.1253,316003895
0.7702,0.8651,316003982
0.1646,0.1246,316004038
0.4678,0.9171,316004039
0.7179,0.1063,316004106
0.7779,0.7668,316004319
0.1738,0.1234,316004376
0.1713,0.1273,316004410
0.2715,0.8552,316004434
0.7341,0.8437,316004449
0.7322,0.8501,316004451
