x,y,ID
0.6586,0.0141,0
0.9808,0.9936,205717000
0.6983,0.0685,209112000
0.5105,0.7467,209429000
0.2891,0.0678,210737000
0.9801,0.1321,212656000
0.1569,0.0883,220590000
0.7558,0.9294,229054000
0.5665,0.0519,232010350
0.102,0.0865,232048904
0.1683,0.0901,233933000
0.0803,0.089,235055089
0.1602,0.1568,235082858
0.1783,0.088,235116535
0.6615,0.7404,240681000
0.7904,0.2762,244023610
0.9061,0.9424,247222930
0.7779,0.9961,248703000
0.74,0.8372,248974000
0.3617,0.053,255617000
0.0954,0.0682,255801370
0.7333,0.8206,255803680
0.8843,0.9982,255805550
0.7057,0.9226,255806490
0.7694,0.8322,255806497
0.0825,0.0851,257407000
0.0832,0.101,265526100
0.1521,0.0897,265808260
0.4438,0.9905,275430000
0.133,0.088,303221000
0.1599,0.1434,303244000
0.147,0.1088,303295000
0.4335,0.1229,303304000
0.0924,0.0862,303308000
0.7149,0.9777,303366000
0.0807,0.0696,303396000
0.1761,0.7775,303398000
0.1072,0.0883,303436000
0.7562,0.7209,303442000
0.7444,0.7665,303465000
0.7304,0.9241,303547000
0.2803,0.0897,303556000
0.088,0.083,303599000
0.1646,0.0943,303636000
0.1705,0.089,303639000
0.7735,0.9371,303656000
0.7304,0.9922,303668000
0.105,0.0858,303674000
0.1702,0.0897,303683000
0.1337,0.1014,303902000
0.1256,0.0562,303944000
0.7392,0.8474,309372000
0.7727,0.9566,309955000
0.8022,0.9198,311000187
0.7352,0.841,311000188
0.1289,0.0586,311001213
0.4387,0.9951,311001249
0.7506,0.8852,311056900
0.9808,0.9958,311696000
0.2394,0.1876,314956599
0.1448,0.0982,316001005
0.1127,0.0558,316001104
0.8424,0.9396,316001110
0.3477,0.0533,316001125
0.1138,0.0516,316001152
0.1304,0.124,316001193
0.1164,0.0887,316001221
0.7455,0.029,316001222
0.7698,0.7224,316001235
0.1315,0.0964,316001236
0.8773,0.9926,316001245
0.7466,0.893,316001247
0.811,0.9912,316001249
0.7654,0.9827,316001251
0.7691,0.9505,316001252
0.772,0.9403,316001255
0.8317,0.9919,316001257
0.8276,0.9862,316001262
0.6534,0.0268,316001265
0.8232,0.8146,316001266
0.7414,0.9516,316001267
0.7628,0.9841,316001268
0.7982,0.9915,316001269
0.2405,0.0911,316001270
0.1584,0.089,316001341
0.2092,0.9675,316001416
0.1425,0.0996,316001481
0.1193,0.0897,316001487
0.1687,0.0887,316001538
0.1569,0.9248,316001556
0.1665,0.0848,316001649
0.1775,0.0901,316001655
0.1635,0.0894,316001659
0.4821,0.9975,316001717
0.6368,0.1473,316001731
0.305,0.8919,316001749
0.9702,0.0901,316001804
0.695,0.9838,316001819
0.1282,0.0897,316002054
0.0729,0.0904,316002294
0.5134,0.0106,316002623
0.1621,0.088,316002718
0.435,0.0639,316002742
0.1661,0.0897,316002759
0.7175,0.9912,316002933
0.1727,0.0851,316002974
0.5669,0.0353,316003008
0.6291,0.0018,316003137
0.5444,0.036,316003167
0.9565,0.9862,316003182
0.1595,0.1893,316003289
0.2004,0.1176,316003351
0.1716,0.0904,316003366
0.1871,0.0865,316003446
0.0225,0.0876,316003447
0.8773,0.0191,316003453
0.1127,0.0865,316003459
0.1731,0.0897,316003481
0.7355,0.7428,316003483
0.3238,0.7379,316003514
0.719,0.0102,316003515
0.095,0.0851,316003527
0.7525,0.9919,316003544
0.3308,0.0911,316003593
0.0424,0.0894,316003659
0.7727,0.7761,316003663
0.4435,0.035,316003667
0.1477,0.0887,316003668
0.6862,0.0675,316003671
0.7724,0.5662,316003677
0.1845,0.0876,316003702
0.1842,0.1219,316003703
0.0869,0.0385,316003760
0.1772,0.089,316003806
0.1009,0.0876,316003895
0.7702,0.0251,316003982
0.1646,0.0904,316004038
0.4678,0.0106,316004039
0.7179,0.9548,316004106
0.7779,0.0473,316004319
0.1738,0.089,316004376
0.1713,0.0897,316004410
0.2715,0.0887,316004434
0.7341,0.0618,316004449
0.7322,0.9576,316004451
0.7606,0.9943,316004458
0.3484,0.0904,316004479
0.7484,0.7782,316004498
0.3915,0.988,316004512
0.7669,0.9933,316004641
0.7595,0.6807,316004658
0.1595,0.0276,316004659
0.0954,0.1017,316004661
0.6483,0.0198,316004727
0.1227,0.089,316004787
0.7698,0.0908,316004807
0.182,0.0894,316004831
0.1013,0.0975,316004832
0.0877,0.0876,316004908
0.088,0.0399,316004932
0.7157,0.0141,316004969
0.1705,0.0636,316004971
0.1521,0.0904,316005018
0.1646,0.089,316005159
0.7772,0.107,316005257
0.8018,0.8297,316005416
0.7606,0.8682,316005417
0.1757,0.0858,316005448
0.7308,0.0611,316005489
0.1624,0.0908,316005498
0.084,0.0505,316005551
0.1635,0.0887,316005583
0.3344,0.0201,316005607
0.1764,0.1007,316005611
0.7587,0.0653,316005616
0.7724,0.0226,316005621
0.1429,0.0314,316005622
0.0843,0.0714,316005623
0.1064,0.095,316005626
0.7149,0.0728,316005636
0.2773,0.0127,316005637
0.0917,0.0632,316005649
0.1094,0.0664,316005651
0.1705,0.0904,316005665
0.1602,0.0904,316005667
0.2147,0.0399,316005713
0.5878,0.0346,316005715
0.6862,0.0943,316005716
0.1076,0.1505,316005717
0.7263,0.7647,316005718
0.0803,0.0752,316005721
0.1731,0.9756,316005724
0.3702,0.0798,316005725
0.0737,0.8068,316005728
0.1602,0.0883,316005768
0.098,0.0615,316005772
0.1635,0.0897,316005774
0.2022,0.1088,316005813
0.1753,0.0904,316005832
0.0317,0.0145,316005866
0.0681,0.9993,316005875
0.0866,0.0777,316005881
0.1551,0.0894,316005922
0.1617,0.0883,316005952
0.151,0.0858,316005998
0.5477,0.0173,316006081
0.7278,0.7167,316006101
0.1738,0.088,316006246
0.1201,0.0841,316006345
0.7064,0.764,316006356
0.7145,0.8071,316006584
0.172,0.0904,316006593
0.0858,0.9414,316006785
0.7149,0.9802,316006859
0.6943,0.5991,316006922
0.0917,0.0897,316007017
0.102,0.0904,316007052
0.1101,0.0904,316007107
0.9705,0.0908,316007168
0.1079,0.0887,316007188
0.1576,0.1261,316007236
0.1694,0.0894,316007298
0.1702,0.0887,316007418
0.1223,0.0897,316007587
0.1808,0.0138,316007649
0.8133,0.0858,316007654
0.1731,0.0901,316007656
0.7039,0.9661,316007823
0.3867,0.0237,316007990
0.8029,0.9795,316008041
0.7694,0.8407,316008068
0.1477,0.0883,316008174
0.1768,0.0894,316008380
0.1587,0.2059,316008425
0.1694,0.0897,316008511
0.7565,0.2006,316008556
0.7599,0.1363,316008627
0.0928,0.0742,316008708
0.1488,0.0901,316008779
0.2262,0.9696,316008900
0.1768,0.0904,316008917
0.5267,0.0417,316008968
0.1488,0.089,316009004
0.0899,0.0675,316009063
