x,y,ID
0.0107,0.7705,0
0.9932,0.9364,205717000
0.0509,0.8943,209112000
0.7461,0.8963,209429000
0.052,0.6965,210737000
0.1531,0.2754,212656000
0.0709,0.1354,220590000
0.9184,0.8673,229054000
0.0445,0.8797,232010350
0.0716,0.1277,232048904
0.0737,0.1365,233933000
0.0744,0.1184,235055089
0.1531,0.1342,235082858
0.0716,0.1384,235116535
0.7197,0.9071,240681000
0.0983,0.8249,244023610
0.9256,0.8531,247222930
0.9972,0.8924,248703000
0.8155,0.7898,248974000
0.0417,0.9175,255617000
0.0552,0.3722,255801370
0.864,0.8889,255803680
0.9964,0.8303,255805550
0.9078,0.8858,255806490
0.7956,0.791,255806497
0.0702,0.0976,257407000
0.0994,0.1122,265526100
0.0748,0.1315,265808260
0.9929,0.8365,275430000
0.0684,0.1331,303221000
0.1382,0.1342,303244000
0.0869,0.1273,303295000
0.058,0.9233,303304000
0.0677,0.1288,303308000
0.9811,0.1365,303366000
0.0566,0.1103,303396000
0.8554,0.1427,303398000
0.0744,0.1296,303436000
0.7098,0.8214,303442000
0.7279,0.8662,303465000
0.9117,0.8045,303547000
0.0766,0.1296,303556000
0.068,0.1257,303599000
0.0762,0.1901,303636000
0.0698,0.1377,303639000
0.9295,0.9294,303656000
0.9943,0.7929,303668000
0.0723,0.1284,303674000
0.0748,0.1323,303683000
0.0976,0.1315,303902000
0.0417,0.9152,303944000
0.8305,0.8558,309372000
0.9501,0.7833,309955000
0.8949,0.7975,311000187
0.8226,0.8276,311000188
0.0463,0.1226,311001213
0.9961,0.1107,311001249
0.9302,0.7586,311056900
0.995,0.9379,311696000
0.188,0.1573,314956599
0.0855,0.1304,316001005
0.0381,0.1315,316001104
0.9274,0.8484,316001110
0.0381,0.9387,316001125
0.0356,0.1311,316001152
0.1168,0.1296,316001193
0.073,0.1253,316001221
0.0146,0.1246,316001222
0.7372,0.1913,316001235
0.083,0.135,316001236
0.995,0.9314,316001245
0.9427,0.1793,316001247
0.9925,0.9136,316001249
0.9861,0.1905,316001251
0.9501,0.2083,316001252
0.9523,0.8577,316001255
0.9918,0.7108,316001257
0.9911,0.467,316001262
0.021,0.1253,316001265
0.8383,0.5561,316001266
0.9829,0.1851,316001267
0.9897,0.8052,316001268
1.0,0.2931,316001269
0.0769,0.1169,316001270
0.0751,0.1358,316001341
0.9708,0.7192,316001416
0.083,0.118,316001481
0.0751,0.1064,316001487
0.0748,0.1369,316001538
0.9633,0.1485,316001556
0.0709,0.1361,316001649
0.0737,0.1242,316001655
0.0741,0.1361,316001659
0.9986,0.8916,316001717
0.0563,0.0875,316001731
0.9459,0.1219,316001749
0.0759,0.9726,316001804
0.9836,0.7883,316001819
0.0684,0.1172,316002054
0.0762,0.118,316002294
0.0078,0.9784,316002623
0.0723,0.1365,316002718
0.0349,0.9379,316002742
0.0759,0.1338,316002759
0.9911,0.7902,316002933
0.0694,0.1369,316002974
0.0228,0.1242,316003008
0.0032,0.7686,316003137
0.026,0.956,316003167
0.9797,0.8878,316003182
0.2094,0.1373,316003289
0.0926,0.1431,316003351
0.0751,0.1369,316003366
0.0677,0.1392,316003446
0.0726,0.0432,316003447
0.011,0.833,316003453
0.0694,0.1315,316003459
0.0734,0.1369,316003481
0.714,0.8195,316003483
0.6927,0.9591,316003514
0.0064,0.8446,316003515
0.0702,0.1269,316003527
0.9936,0.8357,316003544
0.0773,0.9942,316003593
0.0741,0.1153,316003659
0.7472,0.7725,316003663
0.0274,0.1223,316003667
0.0716,0.1331,316003668
0.0541,0.0941,316003671
0.5947,0.855,316003677
0.073,0.1388,316003702
0.0972,0.1427,316003703
0.0317,0.1365,316003760
0.0751,0.1331,316003806
0.0737,0.1269,316003895
0.016,0.8484,316003982
0.0748,0.1365,316004038
0.01,0.8816,316004039
