x,y,ID
0.1731,0.1698,116
0.6923,0.1321,118
0.1538,0.4906,125
0.0769,0.1132,131
0.0769,0.0566,144
0.0577,0.8302,161
0.3269,0.0566,166
0.0385,0.9623,168
0.1538,0.9811,183
0.0962,0.9245,184
0.1154,0.0189,201
0.4038,0.0566,215
0.4231,0.8868,217
0.5962,0.9245,247
0.9808,0.283,248
0.2692,0.0,250
0.0577,0.0189,251
0.6923,0.5472,252
0.0769,0.0,253
0.0769,0.0566,255
0.1538,0.0189,256
0.0192,0.0566,257
0.6154,0.8113,263
1.0,1.0,264
0.8077,0.1132,272
0.1731,0.0,273
0.4423,0.4151,274
0.1346,0.0755,275
0.1154,0.4151,276
0.4231,0.2453,277
0.0962,0.1321,278
0.1346,0.0755,283
0.0577,0.3962,301
0.0962,0.0377,318
0.5769,0.2075,323
0.3462,0.1321,327
0.1346,0.2264,333
0.2115,0.8679,334
0.0769,0.1509,335
0.0192,0.9245,338
0.0962,0.0566,339
0.1154,0.9623,340
0.2885,0.0189,341
0.7885,0.1132,342
0.0,0.1698,343
0.0,0.0,346
0.1154,0.0,347
0.6731,0.1509,348
0.0,0.2453,349
0.1346,0.0755,350
0.25,0.1698,351
0.1154,1.0,352
0.0385,0.0,353
0.0962,0.7547,364
0.0192,0.1698,367
0.3462,0.0566,368
0.1346,0.1321,369
0.8654,0.1509,374
0.7308,0.1887,382
0.9423,0.0755,401
0.1538,0.0189,402
0.7308,0.2075,407
0.7115,0.1698,417
0.6731,0.1887,428
0.8077,0.1698,430
0.4231,0.1509,432
