x,y,ID
0.1731,0.9623,116
0.6923,0.0755,118
0.1538,0.0566,125
0.0769,0.9623,131
0.0769,0.1321,144
0.0577,0.0755,161
0.3269,0.0377,166
0.0385,0.0566,168
0.1538,0.3962,183
0.0962,0.0189,184
0.1154,0.9811,201
0.4038,0.9623,215
0.4231,0.0,217
0.5962,0.0566,247
0.9808,0.0377,248
0.2692,0.0189,250
0.0577,0.0377,251
0.6923,1.0,252
0.0769,0.0566,253
0.0769,0.6038,255
0.1538,0.0566,256
0.0192,0.0377,257
0.6154,0.0377,263
1.0,0.0377,264
0.8077,0.0377,272
0.1731,0.0943,273
0.4423,1.0,274
0.1346,0.0189,275
0.1154,0.0377,276
0.4231,0.0566,277
0.0962,0.0566,278
0.1346,0.0189,283
0.0577,0.0189,301
0.0962,0.0189,318
0.5769,0.0377,323
0.3462,0.0755,327
0.1346,0.0943,333
0.2115,0.0377,334
0.0769,0.0377,335
0.0192,0.0377,338
0.0962,0.0189,339
0.1154,0.0189,340
0.2885,0.0377,341
0.7885,0.1132,342
0.0,0.0377,343
0.0,0.0377,346
0.1154,0.0377,347
0.6731,1.0,348
0.0,0.0377,349
0.1346,0.0377,350
0.25,1.0,351
0.1154,0.0566,352
0.0385,0.3585,353
0.0962,0.0377,364
0.0192,0.0189,367
0.3462,0.0943,368
0.1346,0.0189,369
0.8654,0.0189,374
0.7308,1.0,382
0.9423,0.0377,401
0.1538,0.9623,402
0.7308,0.7925,407
0.7115,1.0,417
0.6731,0.9245,428
0.8077,0.0377,430
0.4231,0.0,432
