x,y,ID
0.1731,0.193,116
0.6923,0.1579,118
0.1538,0.7895,125
0.0769,0.4561,131
0.0769,0.1053,144
0.0577,0.8596,161
0.3269,0.2281,166
0.0385,0.7193,168
0.1538,0.9649,183
0.0962,0.3684,184
0.1154,0.2632,201
0.4038,0.1579,215
0.4231,0.9298,217
0.5962,0.5439,247
0.9808,0.4211,248
0.2692,0.1404,250
0.0577,0.0526,251
0.6923,0.8772,252
0.0769,0.1579,253
0.0769,0.0,255
0.1538,0.1754,256
0.0192,0.1579,257
0.6154,0.614,263
1.0,1.0,264
0.8077,0.193,272
0.1731,0.1404,273
0.4423,0.4386,274
0.1346,0.1228,275
0.1154,0.3684,276
0.4231,0.0702,277
0.0962,0.0877,278
0.1346,0.1228,283
0.0577,0.4386,301
0.0962,0.1228,318
0.5769,0.7018,323
0.3462,0.3509,327
0.1346,0.2105,333
0.2115,0.8421,334
0.0769,0.6491,335
0.0192,0.9649,338
0.0962,0.1754,339
0.1154,0.8421,340
0.2885,0.2105,341
0.7885,0.2105,342
0.0,0.6491,343
0.0,0.0877,346
0.1154,0.1228,347
0.6731,0.2456,348
0.0,0.8246,349
0.1346,0.1404,350
0.25,0.2982,351
0.1154,0.6491,352
0.0385,0.1228,353
0.0962,0.8596,364
0.0192,0.2807,367
0.3462,0.1228,368
0.1346,0.2281,369
0.8654,0.2982,374
0.7308,0.3333,382
0.9423,0.2105,401
0.1538,0.1053,402
0.7308,0.3158,407
0.7115,0.3333,417
0.6731,0.2632,428
0.8077,0.2632,430
0.4231,0.2105,432
