x,y,ID
0.1667,0.3208,116
0.1296,0.3962,118
0.6852,0.1509,125
0.2037,0.3396,131
0.0741,0.0755,144
0.8333,0.0377,161
0.1852,0.2642,166
0.9074,0.0566,168
0.9815,0.2075,183
0.6481,0.0755,184
0.1296,0.6981,201
0.1111,0.9057,215
0.8889,0.1887,217
0.7778,0.283,247
0.3148,0.8868,248
0.0556,0.1509,250
0.037,0.0189,251
0.8704,0.9811,252
0.0741,0.0943,253
0.0,0.1509,255
0.037,0.1132,256
0.0926,0.0377,257
0.7407,0.4151,263
1.0,0.9057,264
0.1296,0.7547,272
0.0926,0.1698,273
0.4074,1.0,274
0.0926,0.0189,275
0.2963,0.0566,276
0.0556,0.3019,277
0.1111,0.1132,278
0.0926,0.0189,283
0.4074,0.0377,301
0.0926,0.0189,318
0.5185,0.434,323
0.2037,0.2264,327
0.1296,0.1321,333
0.8519,0.1321,334
0.3333,0.0189,335
0.9444,0.0,338
0.1111,0.0566,339
0.9074,0.0943,340
0.0556,0.1132,341
0.1667,0.717,342
0.3333,0.0189,343
0.037,0.0,346
0.0185,0.0943,347
0.1667,1.0,348
0.5185,0.0566,349
0.1111,0.0566,350
0.1852,0.6226,351
0.8148,0.0189,352
0.0741,0.0566,353
0.8519,0.0566,364
0.2037,0.0377,367
0.0556,0.3019,368
0.1667,0.0189,369
0.1852,0.6604,374
0.2407,1.0,382
0.1481,0.7736,401
0.0556,0.2264,402
0.2222,0.7547,407
0.2407,1.0,417
0.1852,0.6981,428
0.1852,0.4717,430
0.1667,0.283,432
