x,y,ID
0.193,0.1698,116
0.1579,0.1321,118
0.7895,0.4906,125
0.4561,0.1132,131
0.1053,0.0566,144
0.8596,0.8302,161
0.2281,0.0566,166
0.7193,0.9623,168
0.9649,0.9811,183
0.3684,0.9245,184
0.2632,0.0189,201
0.1579,0.0566,215
0.9298,0.8868,217
0.5439,0.9245,247
0.4211,0.283,248
0.1404,0.0,250
0.0526,0.0189,251
0.8772,0.5472,252
0.1579,0.0,253
0.0,0.0566,255
0.1754,0.0189,256
0.1579,0.0566,257
0.614,0.8113,263
1.0,1.0,264
0.193,0.1132,272
0.1404,0.0,273
0.4386,0.4151,274
0.1228,0.0755,275
0.3684,0.4151,276
0.0702,0.2453,277
0.0877,0.1321,278
0.1228,0.0755,283
0.4386,0.3962,301
0.1228,0.0377,318
0.7018,0.2075,323
0.3509,0.1321,327
0.2105,0.2264,333
0.8421,0.8679,334
0.6491,0.1509,335
0.9649,0.9245,338
0.1754,0.0566,339
0.8421,0.9623,340
0.2105,0.0189,341
0.2105,0.1132,342
0.6491,0.1698,343
0.0877,0.0,346
0.1228,0.0,347
0.2456,0.1509,348
0.8246,0.2453,349
0.1404,0.0755,350
0.2982,0.1698,351
0.6491,1.0,352
0.1228,0.0,353
0.8596,0.7547,364
0.2807,0.1698,367
0.1228,0.0566,368
0.2281,0.1321,369
0.2982,0.1509,374
0.3333,0.1887,382
0.2105,0.0755,401
0.1053,0.0189,402
0.3158,0.2075,407
0.3333,0.1698,417
0.2632,0.1887,428
0.2632,0.1698,430
0.2105,0.1509,432
