x,y,ID
0.1425,0.1013,1842298N11080
0.1755,0.0738,1845336N10074
0.7646,0.0405,1848011S09079
0.3628,0.0373,1848011S09080
0.4539,0.9981,1848011S15057
0.1717,0.0648,1848011S16057
0.9259,0.9555,1848061S12075
0.0244,0.0386,1848112S07084
0.1643,0.0476,1848112S07444
0.1371,0.1086,1851080S15062
0.0276,0.1002,1851080S15063
0.1197,0.1167,1851080S21060
0.2062,0.1159,1851080S21420
0.1339,0.07,1851175N26270
0.2682,0.1246,1851181N19275
0.2483,0.1217,1851214N14321
0.1545,0.0634,1851228N13313
0.0517,0.072,1851241N27280
0.1845,0.1231,1851250N20278
0.2345,0.1259,1851254N34316
0.8741,0.0423,1851256N26265
0.5203,0.8356,1851260N32298
0.152,0.0559,1851283N24298
0.175,0.1086,1851289N29282
0.0617,0.0534,1851305S08089
0.1355,0.9811,1851309N19282
0.0201,0.0569,1852001S12077
0.029,0.0701,1852001S13076
0.4166,0.0468,1852021S14075
0.1257,0.1865,1852232N21293
0.2175,0.0995,1852241N34278
0.7749,0.6223,1852247N14309
0.0442,0.1035,1852247N32318
0.2209,0.1209,1852249N17296
0.0292,0.9881,1852264N13309
0.6577,0.0817,1852266N17274
0.1472,0.0615,1852271N15328
0.2452,0.119,1852273N11295
0.9152,0.3139,1852278N14293
0.2156,0.1109,1852331N24274
0.2285,0.1231,1853216N26294
0.1433,0.0389,1853228N14322
0.6896,0.0502,1853238N18281
0.1605,0.0497,1853239N11302
0.1794,0.4579,1853242N12336
0.1388,0.0678,1853245N34311
0.077,0.0437,1853251N24274
0.3142,0.1252,1853251N37307
0.1935,0.1195,1853264N20268
0.0667,0.0796,1853268N27293
0.7556,0.8394,1853269N26298
0.1379,0.1084,1853270N14327
0.9143,0.9922,1853291N32280
0.8005,0.9955,1853318N20288
0.0876,0.1054,1854032S17059
0.1828,0.1159,1854039S18060
0.1426,0.1127,1854060S15069
0.37,0.1001,1854060S16069
0.4033,0.0953,1854176N26268
0.0133,0.0864,1854207N28267
0.4272,0.6839,1854246N25300
0.4296,0.0869,1854253N14303
0.1989,0.0639,1854253N35280
0.1209,0.0531,1854258N13329
0.6254,0.5551,1854259N24266
0.0486,0.0457,1854279N12297
0.8433,0.1194,1854287N18296
0.1572,0.0859,1854293N25292
0.1102,0.0486,1854303N14072
0.1396,0.1117,1854305S10073
0.1335,0.1179,1854309N22294
0.1312,0.1023,1854325S10073
0.3636,0.0547,1855021S14076
0.903,0.2177,1855021S15057
0.1065,0.083,1855121S08073
0.1402,0.0811,1855131S08073
0.2004,0.1153,1855206N22263
0.942,0.9936,1855215N30272
0.3124,0.1274,1855222N44318
0.8187,0.0988,1855236N12304
0.1643,0.108,1855244N12319
0.8759,0.251,1855252N20274
0.0601,0.036,1855263N24306
0.8907,0.9978,1855270N33309
0.0316,0.0416,1855308N24311
0.0815,0.0368,1856032S17058
0.0615,0.0706,1856092S16060
0.2492,0.1164,1856092S16420
0.9169,0.9969,1856221N25277
0.1289,0.0498,1856224N14330
0.1939,0.1132,1856226N11308
0.147,0.0617,1856232N33285
0.2977,0.5751,1856235N13302
0.2816,0.1209,1856246N35284
0.8806,0.9803,1856254N09333
0.1318,0.1103,1856266N40308
0.2003,0.1183,1856272N11336
0.2286,0.0914,1856287N31319
0.1295,0.0532,1857021S17059
0.7023,0.1285,1857032S15066
0.1552,0.1103,1857039S15066
0.0553,0.0602,1857174N26274
0.2465,0.116,1857181N34286
0.4132,0.0532,1857185N25277
0.083,0.032,1857229N16276
0.2562,0.1247,1857230N10315
0.4279,0.6574,1857249N27286
0.1569,0.1112,1857251N13300
0.2761,0.1041,1857261N16301
0.2448,0.1064,1857267N16305
0.9093,0.0305,1857279N18282
0.0604,0.0977,1857290N32325
0.1363,0.0538,1857313N17300
0.0221,0.0574,1857335S15062
0.0401,0.0848,1857335S15422
0.038,0.0338,1857355S06086
0.9053,0.1082,1858011S09058
0.0406,0.1034,1858052S12061
0.1397,0.0638,1858060S12078
0.0128,0.0453,1858060S12079
0.1582,0.0826,1858091S12048
0.2005,0.0962,1858091S12408
0.2189,0.1219,1858162N17283
0.8419,0.0767,1858224N27287
0.4998,0.1133,1858254N21273
0.1596,0.0507,1858257N15325
0.1757,0.0463,1858260N18319
0.0318,0.0572,1858263N25299
0.1778,0.1158,1858266N22286
0.2271,0.0999,1858289N24311
0.7456,0.9466,1858291N21287
0.3094,0.126,1858298N37296
0.1848,0.1207,1858305S26053
0.0323,0.0369,1858319N12280
0.1553,0.115,1858325S25052
0.221,0.1256,1858345S08093
0.648,0.1246,1858345S08094
0.1337,0.1125,1859021S14077
0.0218,0.0992,1859021S14078
0.0575,0.0832,1859042S32050
0.2153,0.0919,1859046S32051
0.61,0.1737,1859060S08057
0.163,0.1055,1859060S09057
0.055,0.1157,1859070S05088
0.1512,0.1185,1859070S05448
0.1509,0.0882,1859101S10091
0.1971,0.112,1859101S10451
0.1748,0.1215,1859152S05087
0.1532,0.1184,1859162S04088
0.1577,0.0585,1859172N18275
0.0052,0.0494,1859224N28287
0.0874,0.0974,1859234N24275
0.1827,0.1141,1859236N13337
0.2359,0.1227,1859245N17300
0.0519,0.046,1859249N11324
0.9022,0.0625,1859253N21275
0.9839,0.0187,1859272N15322
0.3035,0.1638,1859273N17289
0.1413,0.0354,1859277N22287
0.0281,0.0449,1859284N19293
0.1363,0.1034,1859289N25285
0.6638,0.0965,1859297N20267
0.3759,0.0582,1859312N13278
0.1841,0.0842,1859335S05090
0.4294,0.0703,1859335S05091
0.9344,0.9937,1859335S14043
0.022,0.1664,1860011S13068
0.0407,0.0532,1860011S14067
0.4848,0.1049,1860011S15076
0.1952,0.1166,1860021S16057
0.1377,0.0645,1860039S17057
0.0605,0.0523,1860042S17057
0.0663,0.104,1860052S10081
0.0325,0.0645,1860052S12105
0.539,0.0856,1860052S14057
0.0611,0.0808,1860061S13085
0.1517,0.0998,1860061S13445
0.1141,0.0794,1860081S14069
0.0573,0.0828,1860081S14429
0.1851,0.122,1860112S11085
0.155,0.1089,1860112S11086
0.133,0.1012,1860122S07087
0.1567,0.1148,1860122S07447
0.2049,0.097,1860208N11301
0.2755,0.4066,1860221N28276
0.3014,0.0825,1860227N25311
0.0574,0.0436,1860227N26291
0.0621,0.0723,1860232N25291
0.2654,0.1246,1860237N28283
0.799,0.6834,1860245N20333
0.1416,0.0658,1860247N13298
0.0225,0.0344,1860252N18284
0.4732,0.1279,1860258N14336
0.0441,0.0415,1860259N27296
0.157,0.081,1860262N22294
0.0606,0.0563,1860267N12318
0.7164,0.1068,1860269N20266
0.0543,0.0362,1860289N14290
0.0612,0.1016,1860336S08087
0.03,0.1022,1860336S09086
0.0364,0.9817,1861011S17051
0.2432,0.1098,1861011S17411
0.6284,0.9675,1861021S13086
0.2414,0.1178,1861021S13446
0.4848,0.058,1861039S10077
0.7745,0.0506,1861042S10077
0.3655,0.0318,1861042S16062
0.0795,0.0406,1861046S16062
0.0215,0.1116,1861052S08069
0.0422,0.578,1861070S11100
0.9185,0.9922,1861091S07085
0.1363,0.0947,1861101S09083
0.0284,0.0879,1861101S09084
0.9815,0.4753,1861185N15303
0.0131,0.9941,1861202N37285
0.1895,0.121,1861210N15276
0.0934,0.0905,1861221N13316
0.1512,0.1104,1861226N21290
0.8884,0.1258,1861237N35296
0.1408,0.043,1861254N19314
0.1539,0.0513,1861255N13337
0.0184,0.086,1861266N20269
0.209,0.1018,1861270N29283
0.0574,0.0229,1861275N19299
0.1466,0.0538,1861277N15320
0.2047,0.0629,1861279N20314
0.0154,0.029,1861290N25292
0.1577,0.0607,1861304N25267
0.167,0.1232,1861305N26278
0.1522,0.1209,1861305S10085
0.025,0.1094,1861315S10085
0.051,0.0815,1861355S05087
0.02,0.0929,1861355S06087
0.8985,0.0521,1861355S11068
0.9383,0.0484,1862001S12081
0.0309,0.1293,1862001S12104
0.0173,0.0972,1862001S13103
0.9734,0.9909,1862011S21051
0.937,0.9897,1862021S12055
0.0224,0.052,1862052S08080
0.0318,0.1075,1862052S23092
0.4749,0.0848,1862060S19101
0.9244,0.9919,1862070S15063
0.024,0.1039,1862080S09082
0.0575,0.1018,1862080S09442
0.1657,0.1057,1862147N28285
0.1446,0.1015,1862166N32284
0.1375,0.119,1862189N28275
0.3036,0.0842,1862198N27264
0.0523,0.0468,1862229N24294
0.3859,0.1277,1862237N24265
0.2774,0.0238,1862247N15326
0.1732,0.0673,1862251N15325
0.1359,0.0624,1862255N26286
0.0604,0.1078,1862274S04058
0.1153,0.0604,1862275N12308
0.0501,0.1018,1862284S04059
0.1593,0.0905,1862287N33290
0.1771,0.0579,1862305S12062
0.0144,0.0456,1862315S12062
0.7631,0.9968,1862326N11280
0.1413,0.085,1862345S07089
0.1327,0.0754,1862345S07090
0.0129,0.0536,1863011S11055
0.1537,0.07,1863011S12055
0.0768,0.0516,1863032S12059
0.1814,0.0906,1863032S13061
0.1634,0.0674,1863032S14058
0.1853,0.1023,1863039S13061
0.1362,0.0639,1863042S15073
0.1402,0.0737,1863046S15073
0.915,0.9857,1863111S13081
0.4297,0.0316,1863121S07089
0.4344,0.0671,1863141S07089
0.4049,0.0463,1863145N27272
0.1744,0.0842,1863217N35284
0.1696,0.1112,1863220N38309
0.0648,0.0541,1863228N26299
0.2187,0.1186,1863230N39302
0.1694,0.0532,1863231N27293
0.3301,0.075,1863239N31281
0.9756,0.0858,1863248N11308
0.1093,0.041,1863255N15300
0.4116,0.0776,1863262N23264
0.0119,0.0478,1863270N21267
0.3063,0.9955,1863270N31290
0.0457,0.0973,1863279N21300
0.1711,0.1148,1863305S12086
0.1332,0.1115,1863325S12086
0.9,0.9909,1863335S17067
0.0344,0.0763,1864011S06081
0.0245,0.0763,1864011S07080
0.933,0.1133,1864052S14079
0.923,0.1071,1864052S15067
0.8905,0.9813,1864102S07069
0.1359,0.0837,1864112S09075
0.0267,0.0914,1864112S10075
0.8099,0.9542,1864197N35285
0.0382,0.0773,1864206N32286
0.8968,0.0837,1864239N15306
0.628,0.5954,1864240N33319
0.0811,0.0608,1864243N15338
0.487,0.6632,1864246N17315
0.1585,0.0915,1864283N18290
0.0249,0.0323,1864294N15326
0.1786,0.0775,1864296N29288
0.1586,0.1167,1865011S14057
0.4173,0.1327,1865011S14058
0.0507,0.0901,1865021S32056
0.1602,0.1204,1865021S32057
0.1727,0.1171,1865042S12095
0.1652,0.1167,1865046S12094
0.4448,0.121,1865052S13058
0.0273,0.0655,1865080S11085
0.0562,0.0555,1865080S11086
0.1449,0.1082,1865101S09076
0.0718,0.1094,1865232N30282
0.4299,0.1201,1865239N24282
0.1137,0.0654,1865247N13318
0.1322,0.0262,1865252N15319
0.0451,0.0719,1865267N20287
0.0492,0.067,1865274N20278
0.0436,0.1006,1865282N19289
0.1865,0.0687,1865287N11303
0.0981,0.0581,1865297N28280
0.9096,0.9922,1865335S13061
0.8222,0.067,1866001S13066
0.4079,0.1098,1866032S19072
0.2616,0.1217,1866032S20072
0.9648,0.9855,1866060S13091
0.9666,0.9942,1866080S14080
0.9895,0.9995,1866091S11082
0.9542,0.1362,1866101S07089
0.9792,0.988,1866101S13073
0.1331,0.0927,1866101S14051
0.226,0.1195,1866101S15051
0.9903,0.974,1866101S16054
0.9751,0.7255,1866101S16060
0.9997,0.9931,1866153N29270
0.1428,0.0649,1866193N27271
0.2376,0.1223,1866225N14298
0.1433,0.1034,1866229N20271
0.0752,0.0223,1866242N14307
0.2367,0.1061,1866247N33292
0.1131,0.0449,1866260N12333
0.0216,0.1034,1866263N36292
0.9239,0.7187,1866264N11342
0.2267,0.0711,1866270N25284
0.6216,0.0619,1866295N28326
0.952,0.9946,1866302N33285
0.9076,0.9912,1866305S09073
0.8818,0.1716,1867011S11072
0.705,0.1418,1867032S15081
0.1673,0.1226,1867032S15441
0.0523,0.0944,1867042S15071
0.0756,0.0931,1867046S15071
0.1406,0.1042,1867121S13069
0.0552,0.0887,1867121S13070
0.043,0.0861,1867172N28280
0.0677,0.1161,1867200N19268
0.3464,0.0371,1867209N18303
0.5239,0.0464,1867223N24278
0.5277,0.9739,1867242N12333
0.1948,0.0709,1867243N31288
0.1489,0.1019,1867243N33283
0.1107,0.0485,1867247N12340
0.1369,0.0929,1867259N27269
0.9661,0.4678,1867268N18278
0.024,0.0226,1867268N30303
0.0272,0.9503,1867270N36291
0.1685,0.0989,1867272N30286
0.1134,0.0985,1867281N14301
0.3328,0.0742,1867300N19310
0.5999,0.0846,1867345S19059
0.0409,0.0738,1868001S17055
0.1798,0.0972,1868001S18055
0.917,0.0567,1868011S17062
0.6419,0.1095,1868032S17081
0.1431,0.1178,1868032S17441
0.0163,0.0558,1868071S15066
0.0282,0.0624,1868071S15426
0.0201,0.0925,1868161N30281
0.2143,0.1141,1868193N13303
0.0552,0.0436,1868240N16327
0.072,0.5912,1868250N31323
0.9119,0.6304,1868275N27265
0.3878,0.7371,1868278N14280
0.1862,0.0744,1868288N16291
0.1882,0.119,1868289N26287
0.1569,0.9025,1868304N27304
0.1343,0.1125,1868306S08077
0.0582,0.0977,1868316S08077
0.9452,0.1271,1869021S21053
0.1447,0.1078,1869039S19053
0.3778,0.0985,1869042S18054
0.4025,0.0917,1869042S20072
0.0441,0.097,1869046S20071
0.7228,0.9104,1869052S19084
0.0835,0.1051,1869091S11073
0.1698,0.1005,1869091S11433
0.0249,0.0832,1869222N30285
0.2935,0.9955,1869224N41313
0.1443,0.099,1869226N20276
0.1802,0.9955,1869239N33313
0.0758,0.0733,1869239N34314
0.2728,0.1201,1869244N28287
0.9572,0.9892,1869245N20288
0.0793,0.0613,1869247N26271
0.1522,0.0476,1869251N18326
0.8013,0.0592,1869253N10328
0.0486,0.0764,1869270N18308
0.3084,0.1263,1869276N13300
0.907,0.9761,1869305S06092
0.393,0.128,1869345S18073
0.0395,0.1138,1869345S18074
0.2189,0.1233,1870001S32049
0.5817,0.1233,1870021S10057
0.1928,0.122,1870021S11056
0.0738,0.1085,1870042S15066
0.0605,0.1105,1870046S16066
0.4248,0.0727,1870052S20109
0.9068,0.9841,1870101S07108
0.0335,0.0434,1870101S09087
0.1331,0.0434,1870101S09447
0.1812,0.1197,1870211N28272
0.5041,0.0223,1870238N14310
0.9078,0.7392,1870242N13338
0.1937,0.0349,1870252N13315
0.1688,0.0677,1870260N30292
0.1492,0.0342,1870264N11332
0.4492,0.0578,1870278N18286
0.1302,0.0442,1870280N10331
0.916,0.0438,1870290N15279
0.7568,0.0943,1870296N20288
0.3199,0.1246,1870297N12331
0.6339,0.9964,1870300N14283
0.1167,0.9733,1870310N28324
0.9166,0.0371,1870324N19317
0.4416,0.0637,1871001S12089
0.3765,0.0465,1871001S16061
0.2915,0.0981,1871021S09087
0.0192,0.1088,1871052S11095
0.8969,0.9889,1871080S15108
0.9092,0.9915,1871080S16068
0.7186,0.9995,1871152N24279
0.1372,0.0719,1871182S04095
0.0322,0.0848,1871192S04095
0.5453,0.9431,1871224N26291
0.1419,0.115,1871228N31312
0.9418,0.3673,1871229N11329
0.4955,0.0518,1871237N18325
0.7486,0.0427,1871239N24298
0.1282,0.0421,1871243N19317
0.7409,0.9993,1871247N28277
0.1707,0.0426,1871249N16318
0.2037,1.0,1871259N17273
0.1507,0.0437,1871266N11315
0.9436,0.9794,1871271N19269
0.1769,0.1099,1871276N11281
0.5986,0.0933,1871278N11329
0.2533,0.0528,1871283N23302
0.1966,0.0834,1871289N15294
0.1379,0.111,1871305S04100
0.1617,0.1189,1871305S04460
0.0278,0.0497,1872021S18054
0.1647,0.0595,1872021S19053
0.6681,0.0499,1872032S12085
0.0333,0.0378,1872032S15074
0.1406,0.0433,1872032S15434
0.167,0.0467,1872039S12085
0.0809,0.1039,1872042S13104
0.1334,0.108,1872046S13104
0.1808,0.1101,1872071S05087
0.0233,0.1037,1872071S05088
0.966,0.9866,1872071S17051
0.161,0.1141,1872092S23053
0.1493,0.1147,1872092S24053
0.0373,0.1361,1872122S14066
0.2096,0.1242,1872122S14426
0.881,0.1551,1872191N25268
0.1276,0.0396,1872233N14334
0.1599,0.1092,1872241N36296
0.1788,0.1138,1872243N29299
0.2862,0.0759,1872250N12338
0.1163,0.0801,1872253N13301
0.1547,0.0389,1872273N12335
0.1948,0.0396,1872274N13328
0.9051,0.9902,1872275S14070
0.6336,0.0884,1872280N18291
0.1404,0.0684,1872296N23271
0.0564,0.1096,1872306S15069
0.4375,0.118,1873001S16058
0.1579,0.1172,1873001S17058
0.6894,0.0372,1873021S17054
0.0844,0.0464,1873032S12076
0.1365,0.0772,1873032S12436
0.0413,0.0546,1873042S14056
0.0292,0.0695,1873046S15056
0.0273,0.0402,1873060S16067
0.7138,0.1151,1873070S10088
0.0303,0.1146,1873070S10448
0.1618,0.0768,1873152N24281
0.181,0.1188,1873223N11332
0.9447,0.0386,1873225N14335
0.0575,0.0468,1873231N35306
0.6577,0.0625,1873256N13296
0.2218,0.1127,1873265N22274
0.1577,0.7173,1873269N13303
0.2033,0.3069,1873275N16340
0.2251,0.1103,1873290N30314
0.0297,0.1066,1874011S14064
0.1996,0.1108,1874011S15064
0.8546,0.9567,1874021S19055
0.0378,0.04,1874042S13080
0.0758,0.0453,1874046S13079
0.9734,0.1244,1874070S13045
0.0867,0.0479,1874080S13072
0.4345,0.0356,1874080S13073
0.1697,0.1028,1874183N26275
0.1512,0.068,1874215N25306
0.4109,0.8847,1874236N29292
0.1823,0.0938,1874240N13326
0.1586,0.0365,1874241N14326
0.0704,0.0912,1874245N20265
0.134,0.0829,1874245N25271
0.175,0.0657,1874251N26289
0.3177,0.126,1874258N34313
0.1587,0.0864,1874268N18274
0.0184,0.0867,1874304N14283
0.9387,0.2571,1875011S13061
0.9524,0.0757,1875011S14076
0.0246,0.1067,1875060S17082
0.4123,0.0999,1875060S17088
0.1691,0.1071,1875060S17448
0.0538,0.0889,1875228N31284
0.016,0.1005,1875239N37308
0.798,0.0358,1875243N14330
0.1144,0.8752,1875246N12333
0.049,0.0789,1875259N33318
0.1366,0.0568,1875267N23267
0.1536,0.036,1875277N19297
0.1571,0.0935,1875280N24292
0.1316,0.1006,1875285N27285
0.1336,0.1157,1875355S19065
0.4324,0.0992,1876001S17061
0.9727,0.9949,1876032S17059
0.1822,0.1211,1876046S18062
0.1384,0.04,1876052S14066
0.0297,0.1132,1876052S18062
0.9672,0.9942,1876071S16083
0.2372,0.125,1876200N16293
0.1017,0.0322,1876213N32288
0.1439,0.0969,1876227N26295
0.0163,0.0882,1876231N14303
0.18,0.0948,1876239N25295
0.1473,0.0456,1876247N14325
0.2228,0.1131,1876253N39299
0.9909,0.923,1876254N15320
0.176,0.0763,1876257N14319
0.2291,0.0996,1876260N19302
0.149,0.068,1876268N12300
0.1395,0.0777,1876273N12301
0.1813,0.12,1876273N14301
0.7678,0.0195,1876285N11279
0.201,0.0515,1876313N24310
0.8961,0.1138,1876336S15075
0.63,0.1133,1877001S12055
0.2893,0.1234,1877001S13054
0.2464,0.1234,1877009S13054
0.0435,0.1128,1877039S19059
0.0995,0.1116,1877041S20059
0.9118,0.9584,1877042S14078
0.1646,0.1162,1877042S18059
0.1444,0.0443,1877046S12079
0.1433,0.1075,1877101S15062
0.9111,0.9907,1877111S15063
0.0161,0.1021,1877121S07090
0.0429,0.0914,1877129S08088
0.0531,0.0982,1877131S07090
0.0286,0.0511,1877135N10083
0.1416,0.1155,1877192N21090
0.1816,0.0643,1877213N23288
0.1975,0.1078,1877214N29286
0.4444,0.1256,1877218N21090
0.1512,0.1086,1877220N22092
0.0942,0.0962,1877226N21089
0.7666,0.0805,1877230N20091
0.0782,0.1032,1877237N30302
0.2738,0.0822,1877241N20088
0.3171,0.0455,1877247N14341
0.6578,0.9984,1877249N20088
0.0552,0.04,1877257N22268
0.1413,0.0438,1877259N26310
0.082,0.1856,1877260N17327
0.4423,0.5771,1877267N21292
0.0218,0.1722,1877276N34329
0.1569,0.0569,1877286N27312
0.1606,0.0793,1877297N25266
0.2987,0.1246,1877300N31313
0.1812,0.1084,1877307N18091
0.3007,0.1252,1877332N23284
0.2215,0.0842,1878010S19054
0.0866,0.0779,1878011S18054
0.2157,0.0844,1878011S19054
0.2071,0.0985,1878100S12066
0.2226,0.0935,1878101S10066
0.1462,0.0837,1878101S10067
0.1326,0.0985,1878182N25273
0.1093,0.0904,1878188N18299
0.033,0.9996,1878202N18087
0.2764,0.1242,1878215N20086
0.2052,0.1141,1878218N20089
0.4024,0.0699,1878220N15300
0.0441,0.0354,1878229N32286
0.5286,0.11,1878236N25280
0.7739,0.1677,1878244N09306
0.0371,0.0454,1878246N20312
0.051,0.343,1878248N13322
0.8728,0.9829,1878253N14324
0.138,0.9979,1878256N19090
0.7967,0.0439,1878257N19269
0.9148,0.0762,1878261N18090
0.2415,0.1231,1878266N14299
0.8046,0.0858,1878267N15288
0.1454,0.0333,1878282N11326
0.1792,0.0992,1878282N24269
0.0908,0.053,1878283N18342
0.3598,0.0999,1878287N16084
0.7813,0.9797,1878287N19283
0.1273,0.0702,1878289N41316
0.1283,0.1103,1878292N31307
0.1147,0.0416,1878296N24332
0.1701,0.0938,1878301N15084
0.1884,0.1206,1878308N16084
0.1462,0.1027,1878329N15310
0.0254,0.0856,1878329N17310
0.7674,0.0704,1878339N17087
0.2577,0.0926,1878344S11071
0.0608,0.071,1878345S09072
0.1942,0.091,1878345S09432
0.2451,0.1064,1879011S24062
0.7378,0.0836,1879021S24062
0.2421,0.1096,1879043S13058
0.0918,0.0926,1879052S11057
0.1668,0.0556,1879070S11063
0.9038,0.0443,1879080S11064
0.9021,0.0815,1879140N13081
0.084,0.1084,1879141N12073
0.4316,0.0952,1879149N21087
0.0204,0.0676,1879220N21088
0.7728,0.1886,1879220N31284
0.2731,0.0227,1879225N13302
0.1068,0.0286,1879228N13341
0.2898,0.127,1879228N15307
0.1467,0.0395,1879231N17279
0.0676,0.0641,1879241N24272
0.4669,0.9724,1879252N33283
0.0292,0.0944,1879254N14300
0.0315,0.9998,1879256N21090
0.9222,0.9838,1879265N20089
0.1241,0.0711,1879266N37286
0.1635,0.1018,1879276N15282
0.1783,0.0709,1879282N14304
0.16,0.352,1879284N19092
0.1669,0.0487,1879285N11308
0.0289,0.0651,1879297N20275
0.1967,0.1214,1879299N20092
0.9532,0.0508,1879305N15097
0.061,0.0315,1879309N21332
0.1125,0.1101,1879322N13081
0.2614,0.1172,1879322N22287
0.1487,0.0933,1879344S16059
0.2676,0.0729,1879345S15060
0.1775,0.1155,1879345S16054
0.1432,0.0868,1879345S16059
0.9104,0.9896,1879355S15054
0.2483,0.1153,1880001S08060
0.999,0.0437,1880043S13088
0.9252,0.0869,1880052S11089
0.6427,0.095,1880153N20089
0.2022,0.125,1880161N17274
0.1334,0.0875,1880173N27274
0.6685,0.0761,1880177N19088
0.0214,0.083,1880196N20089
0.4299,0.9854,1880214N20088
0.0594,0.0755,1880217N16300
0.7221,0.0231,1880228N14301
0.906,0.057,1880230N15342
0.12,0.9982,1880233N21089
0.7747,0.6185,1880235N13333
0.1719,0.1126,1880242N18340
0.0488,0.0686,1880248N22283
0.0863,0.1109,1880250N24271
0.0932,0.0856,1880254N19267
0.1039,0.0531,1880257N19089
0.4807,0.0987,1880265N20088
0.9889,0.9999,1880267N21088
0.1043,0.8942,1880271N23317
0.1637,0.0708,1880275N35327
0.9031,0.0399,1880279N18275
0.4856,0.9677,1880284N24295
0.1565,0.9988,1880287N17085
0.1966,0.0842,1880289N31299
0.1684,0.1103,1880295N27285
0.1709,0.0976,1880325N10082
0.1592,0.1177,1880345S15067
0.0247,0.1135,1880346S15068
0.1377,0.1172,1880346S15428
0.4204,0.0837,1881001S09084
0.0312,0.0816,1881011S15057
0.9346,0.0509,1881021S14057
0.1417,0.1155,1881039S12084
0.1864,0.1155,1881041S13082
0.1406,0.1157,1881042S12085
0.0562,0.0931,1881069S22053
0.9121,0.992,1881070S21053
0.3291,0.1207,1881101S07089
0.9638,0.9941,1881111S05089
0.1315,0.0675,1881121S06095
0.0207,0.0485,1881121S06096
0.1602,0.0728,1881129S07094
0.0494,0.9851,1881146N14067
0.1199,0.0996,1881146N20090
0.9982,0.9992,1881154N20089
0.1337,0.0506,1881157N21088
0.9964,1.0,1881165N21089
0.2319,0.1167,1881183N21088
0.0307,0.9998,1881194N21090
0.6312,0.2371,1881208N35286
0.1837,0.1152,1881213N23275
0.3507,0.1224,1881214N20087
0.0421,0.0273,1881223N16329
