x,y,ID
0.2915,0.1153,1842298N11080
0.3116,0.1211,1845336N10074
0.9915,0.6855,1848011S09079
0.0667,0.0554,1848011S09080
0.6235,0.9802,1848011S15057
0.9987,0.1256,1848011S16057
0.7098,0.9692,1848061S12075
0.1419,0.0463,1848112S07084
0.1201,0.1119,1848112S07444
0.1314,0.12,1851080S15062
0.2116,0.0838,1851080S15063
0.1097,0.1156,1851080S21060
0.2519,0.1732,1851080S21420
0.486,0.0998,1851175N26270
0.3289,0.1816,1851181N19275
0.5605,0.1888,1851214N14321
0.451,0.1205,1851228N13313
0.3868,0.0705,1851241N27280
0.1435,0.1603,1851250N20278
0.8705,0.1907,1851254N34316
0.452,0.6608,1851256N26265
0.3301,0.6832,1851260N32298
0.8584,0.1126,1851283N24298
0.0285,0.1494,1851289N29282
0.2481,0.0634,1851305S08089
0.4372,0.9698,1851309N19282
0.1214,0.0564,1852001S12077
0.0492,0.0675,1852001S13076
0.0891,0.0296,1852021S14075
0.019,0.1016,1852232N21293
0.5392,0.1704,1852241N34278
0.996,0.6707,1852247N14309
0.2323,0.0792,1852247N32318
0.2021,0.1826,1852249N17296
0.4133,0.8155,1852264N13309
0.3271,0.1541,1852266N17274
0.8948,0.1072,1852271N15328
0.6401,0.1777,1852273N11295
0.5347,0.9184,1852278N14293
0.9502,0.167,1852331N24274
0.4816,0.1886,1853216N26294
0.686,0.0954,1853228N14322
0.3855,0.1495,1853238N18281
0.1172,0.1133,1853239N11302
0.9431,0.1637,1853242N12336
0.8542,0.1056,1853245N34311
0.2605,0.0695,1853251N24274
0.9395,0.225,1853251N37307
0.4097,0.1638,1853264N20268
0.3597,0.0829,1853268N27293
0.6291,0.8359,1853269N26298
0.379,0.1205,1853270N14327
0.747,0.9947,1853291N32280
0.5591,0.9874,1853318N20288
0.2348,0.1038,1854032S17059
0.2899,0.1605,1854039S18060
0.3156,0.1221,1854060S15069
0.2376,0.1164,1854060S16069
0.0333,0.0797,1854176N26268
0.1878,0.0686,1854207N28267
0.1636,0.4603,1854246N25300
0.1384,0.0805,1854253N14303
0.9912,0.143,1854253N35280
0.0583,0.0885,1854258N13329
0.2726,0.5731,1854259N24266
0.0817,0.0343,1854279N12297
0.6199,0.6476,1854287N18296
0.078,0.125,1854293N25292
0.1328,0.0249,1854303N14072
0.0425,0.1251,1854305S10073
0.1511,0.1216,1854309N22294
0.0712,0.1094,1854325S10073
0.1427,0.0307,1855021S14076
0.1769,0.949,1855021S15057
0.0493,0.0968,1855121S08073
0.0987,0.1111,1855131S08073
0.3093,0.1656,1855206N22263
0.6825,0.997,1855215N30272
0.9977,0.2248,1855222N44318
0.2027,0.3717,1855236N12304
0.7611,0.1214,1855244N12319
0.2844,0.849,1855252N20274
0.1941,0.0622,1855263N24306
0.9895,0.9966,1855270N33309
0.1493,0.0543,1855308N24311
0.2785,0.0559,1856032S17058
0.0407,0.0801,1856092S16060
0.4388,0.1936,1856092S16420
0.1595,0.9939,1856221N25277
0.3608,0.0945,1856224N14330
0.9601,0.1633,1856226N11308
0.4423,0.106,1856232N33285
0.0312,0.2928,1856235N13302
0.9295,0.2052,1856246N35284
0.2777,0.9742,1856254N09333
0.9922,0.1161,1856266N40308
0.0576,0.1704,1856272N11336
0.9516,0.1717,1856287N31319
0.1735,0.0869,1857021S17059
0.1677,0.3871,1857032S15066
0.2214,0.1333,1857039S15066
0.1714,0.0569,1857174N26274
0.2132,0.1928,1857181N34286
0.1449,0.1793,1857185N25277
