x,y,ID
0.1463,0.0433,2004025S16044
0.1279,0.039,2004026S12063
0.0746,0.0427,2004028S06090
0.0625,0.0588,2004041S14147
0.1569,0.015,2004042N08148
0.724,0.5307,2004052S15172
0.1866,0.0947,2004056S18125
0.144,0.142,2004058S13142
0.0781,0.0968,2004061S12072
0.021,0.2317,2004068S13089
0.2723,0.6319,2004072S11146
0.0608,0.0432,2004074N03143
0.144,0.0455,2004081S12103
0.0954,0.0905,2004081S15148
0.3143,0.132,2004083S08056
0.0918,0.3819,2004086S29318
0.9036,0.4113,2004093N07154
0.6529,0.0323,2004098S15173
0.2433,0.0269,2004125N11074
0.0736,0.0298,2004125S08084
0.5488,0.9559,2004134N07132
0.2195,0.0338,2004135N09114
0.0627,0.053,2004136N05148
0.0458,0.3464,2004136N15090
0.2438,0.2191,2004143N15252
0.9892,0.0746,2004156N16117
0.0294,0.0207,2004158N07142
0.9942,0.9998,2004162N18068
0.7313,0.999,2004163N15090
0.1297,0.0134,2004164N06139
0.014,0.0263,2004174N14146
0.1239,0.0259,2004177N12154
0.2222,0.05,2004185N16241
0.7083,0.3103,2004186N06203
0.0336,0.0379,2004193N19136
0.2171,0.1255,2004195N15255
0.062,0.0814,2004201N14247
0.0183,0.0506,2004206N20151
0.7566,0.9979,2004208N19118
0.4816,0.1571,2004209N12247
0.1132,0.9204,2004214N12234
0.9897,0.0755,2004214N30282
0.5214,0.0493,2004215N22148
0.0142,0.0688,2004216N16166
0.4629,0.9733,2004217N13306
0.0244,0.0836,2004219N15137
0.61,0.0775,2004222N24150
0.9056,0.9593,2004223N11301
0.9715,0.0501,2004227N09314
0.1627,0.0861,2004227N12338
0.9483,0.9389,2004227N15144
0.2355,0.1054,2004230N09172
0.182,0.8668,2004231N09147
0.0402,0.0635,2004232N12228
0.0742,0.0468,2004236N17250
0.0539,0.0459,2004237N17236
0.0562,0.1644,2004238N11325
0.0755,0.0195,2004238N13154
0.5549,0.0668,2004239N11171
0.2619,0.1586,2004240N15254
0.215,0.0522,2004241N29295
0.9843,0.5042,2004241N32282
0.2355,0.0443,2004243S03088
0.0817,0.0535,2004244N12257
0.1543,0.1828,2004247N10332
0.4111,0.0712,2004248N14156
0.1444,0.785,2004252N15250
0.0086,0.1149,2004252N32320
0.0217,0.8671,2004255N11267
0.2109,0.2645,2004255N23120
0.888,0.9775,2004256N23089
0.0568,0.0646,2004258N16300
0.8817,0.0895,2004260N11331
0.1639,0.0055,2004263N13153
0.0241,0.028,2004264N13328
